Tue May 28 16:50:21 2019    DUMP.txt

         18561964 function calls (18334918 primitive calls) in 10.419 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   342462    0.025    0.000    0.025    0.000 element.py:1029(__bool__)
   160120    0.025    0.000    0.025    0.000 {method 'get' of 'dict' objects}
   116327    0.025    0.000    0.025    0.000 {method 'items' of 'dict' objects}
   113485    0.022    0.000    0.024    0.000 __init__.py:279(set_up_substitutions)
     3369    0.024    0.000    0.024    0.000 {method 'split' of 'str' objects}
      482    0.003    0.000    0.024    0.000 data.py:166(normalize_resource_url)
   114378    0.022    0.000    0.022    0.000 {built-in method math.log}
   128698    0.022    0.000    0.022    0.000 {method 'join' of 'str' objects}
     1924    0.004    0.000    0.019    0.000 pathlib.py:624(_parse_args)
   113552    0.018    0.000    0.018    0.000 {method 'pop' of 'list' objects}
     1443    0.001    0.000    0.017    0.000 pathlib.py:644(_from_parts)
   224591    0.017    0.000    0.017    0.000 {method 'add' of 'set' objects}
    36013    0.016    0.000    0.016    0.000 _collections_abc.py:719(__iter__)
    76991    0.015    0.000    0.015    0.000 {method 'keys' of 'dict' objects}
     2956    0.001    0.000    0.014    0.000 porter.py:572(<lambda>)
71481/70577    0.014    0.000    0.014    0.000 porter.py:127(_is_consonant)
   113004    0.014    0.000    0.014    0.000 _lxml.py:222(_prefix_for_namespace)
      483    0.003    0.000    0.014    0.000 data.py:222(normalize_resource_name)
     1924    0.007    0.000    0.013    0.000 pathlib.py:53(parse_parts)
     1113    0.003    0.000    0.012    0.000 element.py:1398(__init__)
      481    0.001    0.000    0.011    0.000 pathlib.py:1108(absolute)
      315    0.001    0.000    0.011    0.000 _lxml.py:255(doctype)
    12984    0.007    0.000    0.010    0.000 porter.py:241(_replace_suffix)
    12428    0.009    0.000    0.009    0.000 re.py:307(_subx)
      962    0.001    0.000    0.009    0.000 pathlib.py:991(__new__)
    36013    0.009    0.000    0.009    0.000 _collections_abc.py:698(__init__)
      482    0.001    0.000    0.008    0.000 codecs.py:319(decode)
     1725    0.004    0.000    0.008    0.000 element.py:322(extract)
      482    0.007    0.000    0.007    0.000 {built-in method _codecs.utf_8_decode}
      965    0.002    0.000    0.006    0.000 ntpath.py:67(isabs)
     1132    0.001    0.000    0.006    0.000 porter.py:383(<lambda>)
      481    0.002    0.000    0.006    0.000 __init__.py:348(reset)
     5380    0.004    0.000    0.005    0.000 element.py:1065(__eq__)
      481    0.003    0.000    0.005    0.000 _lxml.py:88(parser_for)
      482    0.001    0.000    0.005    0.000 pathlib.py:694(__fspath__)
      960    0.000    0.000    0.005    0.000 porter.py:199(_has_positive_measure)
      483    0.002    0.000    0.005    0.000 ntpath.py:450(normpath)
        1    0.004    0.004    0.004    0.004 {built-in method _pickle.load}
     1450    0.003    0.000    0.004    0.000 ntpath.py:122(splitdrive)
      481    0.000    0.000    0.004    0.000 pathlib.py:891(__truediv__)
      142    0.000    0.000    0.004    0.000 _lxml.py:247(pi)
      482    0.003    0.000    0.004    0.000 pathlib.py:684(__str__)
      481    0.003    0.000    0.004    0.000 inspect.py:2748(__init__)
      481    0.001    0.000    0.004    0.000 pathlib.py:678(_make_child)
      481    0.003    0.000    0.004    0.000 __init__.py:42(lookup)
      483    0.001    0.000    0.003    0.000 re.py:180(search)
      481    0.002    0.000    0.003    0.000 _lxml.py:60(initialize_soup)
     1725    0.003    0.000    0.003    0.000 element.py:984(index)
      361    0.000    0.000    0.003    0.000 porter.py:592(<lambda>)
      483    0.002    0.000    0.003    0.000 data.py:139(split_resource_url)
     4329    0.003    0.000    0.003    0.000 pathlib.py:135(splitroot)
     1495    0.002    0.000    0.003    0.000 porter.py:202(_contains_vowel)
     8710    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     1276    0.001    0.000    0.002    0.000 re.py:313(filter)
     2685    0.002    0.000    0.002    0.000 element.py:351(_last_descendant)
      315    0.001    0.000    0.002    0.000 element.py:798(for_name_and_ids)
      485    0.001    0.000    0.002    0.000 re.py:271(_compile)
      981    0.001    0.000    0.002    0.000 porter.py:220(_ends_cvc)
     7229    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     1276    0.001    0.000    0.002    0.000 sre_parse.py:1036(expand_template)
      481    0.002    0.000    0.002    0.000 {built-in method maketrans}
