Tue May 28 16:00:16 2019    DUMP.txt

         13891224 function calls (13665156 primitive calls) in 9.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1113    0.004    0.000    0.014    0.000 element.py:1398(__init__)
     1924    0.008    0.000    0.014    0.000 pathlib.py:53(parse_parts)
    76991    0.014    0.000    0.014    0.000 {method 'keys' of 'dict' objects}
      632    0.001    0.000    0.013    0.000 element.py:1295(find)
      315    0.001    0.000    0.013    0.000 _lxml.py:255(doctype)
      481    0.001    0.000    0.012    0.000 pathlib.py:1108(absolute)
    12428    0.010    0.000    0.011    0.000 re.py:307(_subx)
    36013    0.010    0.000    0.010    0.000 _collections_abc.py:698(__init__)
      962    0.001    0.000    0.010    0.000 pathlib.py:991(__new__)
     1725    0.005    0.000    0.009    0.000 element.py:322(extract)
      482    0.002    0.000    0.009    0.000 codecs.py:319(decode)
     1924    0.005    0.000    0.008    0.000 inspect.py:2465(__init__)
      965    0.002    0.000    0.007    0.000 ntpath.py:67(isabs)
      482    0.007    0.000    0.007    0.000 {built-in method _codecs.utf_8_decode}
      481    0.002    0.000    0.007    0.000 __init__.py:348(reset)
      481    0.004    0.000    0.006    0.000 _lxml.py:88(parser_for)
        1    0.006    0.006    0.006    0.006 {built-in method _pickle.load}
     5380    0.004    0.000    0.005    0.000 element.py:1065(__eq__)
      482    0.001    0.000    0.005    0.000 pathlib.py:694(__fspath__)
      483    0.003    0.000    0.005    0.000 ntpath.py:450(normpath)
      481    0.004    0.000    0.005    0.000 __init__.py:42(lookup)
     1450    0.003    0.000    0.005    0.000 ntpath.py:122(splitdrive)
      481    0.000    0.000    0.005    0.000 pathlib.py:891(__truediv__)
      481    0.003    0.000    0.005    0.000 inspect.py:2748(__init__)
      142    0.000    0.000    0.005    0.000 _lxml.py:247(pi)
      481    0.001    0.000    0.004    0.000 pathlib.py:678(_make_child)
      483    0.001    0.000    0.004    0.000 re.py:180(search)
      482    0.002    0.000    0.004    0.000 pathlib.py:684(__str__)
     1725    0.003    0.000    0.003    0.000 element.py:984(index)
      481    0.001    0.000    0.003    0.000 _lxml.py:60(initialize_soup)
      483    0.003    0.000    0.003    0.000 data.py:139(split_resource_url)
     4329    0.003    0.000    0.003    0.000 pathlib.py:135(splitroot)
     1276    0.001    0.000    0.003    0.000 re.py:313(filter)
      315    0.001    0.000    0.003    0.000 element.py:798(for_name_and_ids)
      485    0.001    0.000    0.003    0.000 re.py:271(_compile)
     1113    0.003    0.000    0.003    0.000 element.py:1614(__init__)
     1928    0.002    0.000    0.003    0.000 enum.py:283(__call__)
     2685    0.002    0.000    0.003    0.000 element.py:351(_last_descendant)
