Tue May 28 15:58:58 2019    DUMP.txt

         32627279 function calls (32398228 primitive calls) in 15.310 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   116327    0.026    0.000    0.026    0.000 {method 'items' of 'dict' objects}
   160120    0.026    0.000    0.026    0.000 {method 'get' of 'dict' objects}
  962/481    0.004    0.000    0.025    0.000 inspect.py:2196(_signature_from_callable)
      482    0.003    0.000    0.025    0.000 data.py:166(normalize_resource_url)
     3369    0.024    0.000    0.024    0.000 {method 'split' of 'str' objects}
   113485    0.021    0.000    0.023    0.000 __init__.py:279(set_up_substitutions)
   128698    0.022    0.000    0.022    0.000 {method 'join' of 'str' objects}
     1924    0.005    0.000    0.021    0.000 pathlib.py:624(_parse_args)
      481    0.008    0.000    0.021    0.000 inspect.py:2115(_signature_from_function)
   114378    0.020    0.000    0.020    0.000 {built-in method math.log}
    84452    0.020    0.000    0.020    0.000 {method 'count' of 'str' objects}
     1443    0.001    0.000    0.019    0.000 pathlib.py:644(_from_parts)
   113552    0.019    0.000    0.019    0.000 {method 'pop' of 'list' objects}
   224591    0.018    0.000    0.018    0.000 {method 'add' of 'set' objects}
     3724    0.002    0.000    0.018    0.000 porter.py:592(<lambda>)
    36013    0.016    0.000    0.016    0.000 _collections_abc.py:719(__iter__)
    10638    0.010    0.000    0.015    0.000 porter.py:202(_contains_vowel)
   113004    0.015    0.000    0.015    0.000 _lxml.py:222(_prefix_for_namespace)
     1924    0.008    0.000    0.015    0.000 pathlib.py:53(parse_parts)
      483    0.003    0.000    0.014    0.000 data.py:222(normalize_resource_name)
      632    0.002    0.000    0.014    0.000 element.py:1048(__getattr__)
      481    0.001    0.000    0.012    0.000 pathlib.py:1108(absolute)
     1113    0.003    0.000    0.012    0.000 element.py:1398(__init__)
      632    0.001    0.000    0.012    0.000 element.py:1295(find)
    76991    0.011    0.000    0.011    0.000 {method 'keys' of 'dict' objects}
      315    0.001    0.000    0.011    0.000 _lxml.py:255(doctype)
      962    0.001    0.000    0.010    0.000 pathlib.py:991(__new__)
    12428    0.009    0.000    0.010    0.000 re.py:307(_subx)
    36013    0.009    0.000    0.009    0.000 _collections_abc.py:698(__init__)
      482    0.002    0.000    0.008    0.000 codecs.py:319(decode)
     1679    0.001    0.000    0.008    0.000 porter.py:652(<lambda>)
     1725    0.004    0.000    0.007    0.000 element.py:322(extract)
     1924    0.005    0.000    0.007    0.000 inspect.py:2465(__init__)
     7157    0.005    0.000    0.007    0.000 porter.py:399(nltk_condition)
      482    0.007    0.000    0.007    0.000 {built-in method _codecs.utf_8_decode}
      965    0.002    0.000    0.006    0.000 ntpath.py:67(isabs)
      481    0.004    0.000    0.006    0.000 _lxml.py:88(parser_for)
      481    0.002    0.000    0.006    0.000 __init__.py:348(reset)
